Index	Name	BirthYear	DescriptionText
1	John F. Kennedy	1917	
2	Walt Disney	1901	
3	Steve Jobs	1955	
4	PelÃ©	1940	
5	Linus Pauling	1901	
6	Orson Welles	1915	
7	Marlon Brando	1924	
8	Stephen Sondheim	1930	
9	Miles Davis	1926	
10	Frank Sinatra	1915	
11	Louis Armstrong	1901	
12	Enrico Fermi	1901	
13	Toni Morrison	1931	
14	Sidney Poitier	1927	
15	Audrey Hepburn	1929	
16	Elvis Presley	1935	
17	Judy Garland	1922	
18	Muhammad Ali	1942	
19	Jimmy Carter	1924	
20	Harold Pinter	1930	
21	VÃ¡clav Havel	1936	
22	FranÃ§ois Mitterrand	1916	
23	Philip Roth	1933	
24	Murray Gell-Mann	1929	
25	Laurence Olivier	1907	
26	Jean-Luc Godard	1930	
27	Claude LÃ©vi-Strauss	1908	
28	Pope John Paul II	1920	
29	John Bardeen	1908	
30	Jacques Chirac	1932	
31	Jerry Lee Lewis	1935	
32	John Glenn	1921	
33	Paul Samuelson	1915	
34	Umm Kulthum	1904	
35	Rita Levi-Montalcini	1909	
36	James Dean	1931	
37	Edward Said	1935	
38	Benjamin Britten	1913	
39	Nat King Cole	1919	
40	Shirley Temple	1928	
41	Margaret Mead	1901	
42	Gene Kelly	1912	
43	Luc Montagnier	1932	
44	Pierre Boulez	1925	
45	Riccardo Giacconi	1931	
46	Salvador Dali	1904	
47	Henri Cartier-Bresson	1908	
48	Alice Munro	1931	
49	Gerhard Herzberg	1904	
50	Ãdith Piaf	1915	
51	George F. Kennan	1904	
52	Jackie Robinson	1927	
53	Manfred Eigen	1927	
54	Joan Rivers	1933	
55	Carl Sagan	1934	
56	Jimi Hendrix	1942	
57	Albert Hofmann	1906	
58	Robert F. Furchgott	1916	
59	Betty Friedan	1921	
60	Neil Armstrong	1930	
61	Leni Riefenstahl	1902	
62	Lucille Ball	1911	
63	Pierre Cardin	1922	
64	Marilyn Monroe	1926	
65	Jean-Paul Belmondo	1933	
66	Hank Williams	1923	
67	Marguerite Yourcenar	1903	
68	Robert K. Merton	1910	
69	Gregory Peck	1916	
70	Barbara Bush	1925	
71	Coretta Scott King	1927	
72	Quino	1932	
73	Steve Irwin	1962	
74	Jan Tinbergen	1903	
75	Philip Johnson	1906	
76	Marguerite Duras	1914	
77	Les Paul	1915	
78	Nicolae Ceausescu	1918	
79	Jonas Salk	1914	
80	Malcolm X	1925	
81	Glenda Jackson	1936	
82	Aretha Franklin	1942	
83	George Harrison	1943	
84	Jean-Paul Sartre	1905	
85	AndrÃ© Weil	1906	
86	Louis de FunÃ¨s	1914	
87	Sophie Scholl	1921	
88	Franco Zeffirelli	1923	
89	Larry McMurtry	1936	
90	FrÃ©dÃ©ric Joliot-Curie	1900	
91	Albert Uderzo	1927	
92	Adolfo SuÃ¡rez	1932	
93	Andreas Papandreou	1919	
94	Jean-Claude CarriÃ¨re	1931	
95	Johnny Cash	1932	
96	Bruno Latour	1947	
97	Werner Heisenberg	1901	
98	Indira Gandhi	1917	
99	Henry Kissinger	1923	
100	Robin Williams	1951	
101	Wernher von Braun	1912	
102	Richard Nixon	1913	
103	Maya Angelou	1928	
104	Jean Baudrillard	1929	
105	JoÃ£o Gilberto	1931	
106	Garry Marshall	1934	
107	FranÃ§oise Sagan	1935	
108	Joe Cocker	1944	
109	Quincy Jones	1933	
110	Tina Turner	1939	
111	David O. Selznick	1902	
112	Ferruccio Lamborghini	1916	
113	Jean Dausset	1916	
114	Daniel Inouye	1924	
115	Tony Curtis	1925	
116	Eartha Kitt	1927	
117	Whitney Houston	1963	
118	Clark Gable	1901	
119	Beverly Cleary	1916	
120	Gina Lollobrigida	1927	
121	Charley Pride	1934	
122	Leonard Cohen	1934	
123	Bruce McLaren	1937	
124	Jerry Garcia	1942	
125	George Balanchine	1904	
126	Louis NÃ©el	1904	
127	Daphne Du Maurier	1907	
128	Hedy Lamarr	1914	
129	Eric Rohmer	1920	
130	Chris Marker	1921	
131	Liliane Bettencourt	1922	
132	Althea Gibson	1927	
133	George Steinbrenner	1930	
134	George Carlin	1937	
135	Charlie Haden	1937	
136	Jacques Cousteau	1910	
137	Paul Bocuse	1926	
138	Rosalynn Carter	1927	
139	Jean Dubuffet	1901	
140	Claudette Colbert	1903	
141	Christian Dior	1905	
142	Ray Bradbury	1920	
143	Charles Bronson	1921	
144	Don Knotts	1924	
145	Monica Vitti	1931	
146	Barbara Cartland	1901	
147	Erich Honecker	1912	
148	C. Wright Mills	1916	
149	Ella Fitzgerald	1917	
150	Peyo	1928	
151	Ennio Morricone	1928	
152	Ed Asner	1929	
153	Elizabeth Taylor	1932	
154	Rue McClanahan	1934	
155	Eddie Van Halen	1955	
156	Robert Byrd	1917	
157	Billy Graham	1918	
158	James Garner	1928	
159	Chespirito	1929	
160	Sean Connery	1930	
161	Peter Jennings	1938	
162	Simone de Beauvoir	1908	
163	Josef Mengele	1911	
164	Kirk Kerkorian	1917	
165	Ursula K. Le Guin	1929	
166	Roberto Carlos	1941	
167	Max Euwe	1901	
168	Katharine Hepburn	1907	
169	Ruth Asawa	1926	
170	Geraldine Ferraro	1935	
171	Jim Morrison	1943	
172	Henri Cartan	1904	
173	Myrna Loy	1905	
174	Edoardo Amaldi	1908	
175	Bill Monroe	1911	
176	Maurice Jarre	1924	
177	Jean-Marie Le Pen	1928	
178	Buddy Holly	1936	
179	Phil Spector	1939	
180	Robert Bresson	1901	
181	Marlene Dietrich	1901	
182	Gordon B. Hinckley	1910	
183	Billie Holiday	1915	
184	William Masters	1915	
185	Violeta Parra	1917	
186	Julie Harris	1925	
187	Florence Henderson	1934	
188	Maynard Jackson	1938	
189	Diana Rigg	1938	
190	Clive James	1939	
191	Terry Fox	1958	
192	Garry Kasparov	1963	
193	Hans-Georg Gadamer	1900	
194	Jean Leray	1906	
195	Steve Allen	1921	
196	Herman Kahn	1922	
197	Dario Fo	1926	
198	Hugh Hefner	1926	
199	Thomas P. Stafford	1930	
200	Larry King	1933	
201	Jack Welch	1935	
202	Ned Beatty	1937	
203	Manuel Ãlvarez Bravo	1902	
204	David Packard	1912	
205	John B. Goodenough	1922	
206	Gus Grissom	1926	
207	Hubert de Givenchy	1927	
208	Philip K. Dick	1928	
209	Barbara Walters	1929	
210	Luciano Pavarotti	1935	
211	Anthony Bourdain	1956	
212	Henri Lefebvre	1901	
213	I. F. Stone	1907	
214	James Stewart	1908	
215	Alex Haley	1921	
216	Audie Murphy	1925	
217	Seymour Cray	1925	
218	Harper Lee	1926	
219	Andy Griffith	1926	
220	Ruth Westheimer	1928	
221	Jean-Louis Trintignant	1930	
222	Bart Starr	1934	
223	Charlie Daniels	1936	
224	Heinz RÃ¼hmann	1902	
225	Arne NÃ¦ss	1912	
226	Pierre Boulle	1912	
227	Julia Child	1912	
228	Guillermo GonzÃ¡lez Camarena	1917	
229	Pierre Soulages	1919	
230	Bob Barker	1923	
231	Johnny Carson	1925	
232	Harry Markowitz	1927	
233	Anouk AimÃ©e	1932	
234	Abimael GuzmÃ¡n	1934	
235	Janis Joplin	1943	
236	JoÃ«l Robuchon	1945	
237	Karen Carpenter	1950	
238	Pedro Arrupe	1907	
239	StÃ©phane Grappelli	1908	
240	Tennessee Williams	1911	
241	Max Roach	1924	
242	Richard Matheson	1926	
243	Conrad Hall	1926	
244	Paul Janssen	1926	
245	AgnÃ¨s Varda	1928	
246	Chet Baker	1929	
247	Ernie Banks	1931	
248	FranÃ§oise HÃ©ritier	1933	
249	Gordon Lightfoot	1938	
250	Pina Bausch	1940	
251	Alfred Winslow Jones	1900	
252	Ernst Mayr	1904	
253	HergÃ©	1907	
254	Balthus	1908	
255	Guy de Rothschild	1909	
256	Haskell Wexler	1922	
257	Johan Galtung	1930	
258	Sylvia Plath	1932	
259	John Denver	1943	
260	Joan Sebastian	1951	
261	Bell Hooks	1952	
262	Eazy-E	1964	
263	Theodor W. Adorno	1903	
264	Jean Vigo	1905	
265	Floyd Gottfredson	1905	
266	Clara Bow	1905	
267	Carole Lombard	1908	
268	Bill Bowerman	1911	
269	Gianni Agnelli	1921	
270	Philip W. Anderson	1923	
271	Michel Serres	1930	
272	Daniel Ellsberg	1931	
273	Mirella Freni	1935	
274	Don Everly	1937	
275	Terry Gilliam	1940	
276	Michael Crichton	1942	
277	O. J. Simpson	1947	
278	Rex Harrison	1908	
279	Robert Wise	1914	
280	Ingrid Bergman	1915	
281	Chavela Vargas	1919	
282	Toots Thielemans	1922	
283	Georges Simenon	1903	
284	B.F. Skinner	1904	
285	MarÃ­a FÃ©lix	1914	
286	Thelonious Monk	1917	
287	Joan Fontaine	1917	
288	Patricio Aylwin	1918	
289	Paul Newman	1925	
290	Burt Bacharach	1928	
291	Jerry Goldsmith	1929	
292	Tom Wolfe	1930	
293	Ken Kesey	1935	
294	Bon Scott	1946	
295	Milton Erickson	1901	
296	Octavio Paz	1914	
297	Charles Mingus	1922	
298	Art Buchwald	1925	
299	John Henry Holland	1929	
300	Ted Kennedy	1932	
301	Paul J. Crutzen	1933	
302	Alex Trebek	1940	
303	AndrÃ© the Giant	1946	
304	Fernando Valenzuela	1960	
305	Layne Staley	1967	
306	Charlotte Perriand	1903	
307	John W. Gardner	1912	
308	Franco Modigliani	1918	
309	William Kunstler	1919	
310	Roy Campanella	1921	
