"Abbreviation","Country"
"AB (CAN)","Canada"
"AK (US)","United States"
"AL (US)","United States"
"ALB","Albania"
"ALG","Algeria"
"AM","Armenia"
"AR (US)","United States"
"ARG","Argentina"
"ATG","Antigua and Barbuda"
"AUS","Austria"
"AUSTL","Australia"
"AZ (US)","United States"
"AZE","Azerbaijan"
"BC (CAN)","Canada"
"BEL","Belgium"
"BIH","Bosnia and Herzegovina"
"BLZ","Belize"
"BRAS","Brazil"
"BRU","Brunei"
"BULG","Bulgaria"
"BURMA","Myanmar"
"BY","Belarus"
"CA (US)","United States"
"CHILE","Chile"
"CHINA","China"
"CO (US)","United States"
"COL","Colombia"
"CR","Costa Rica"
"CT (US)","United States"
"CUBA","Cuba"
"CZ","Czech Republic"
"DC (US)","United States"
"DE (US)","United States"
"DEN","Denmark"
"DR","Dominican Republic"
"EGYPT","Egypt"
"ENG (UK)","United Kingdom"
"ETH","Ethiopia"
"FIN","Finland"
"FL (US)","United States"
"FR","France"
"FRGU","French Guiana (France)"
"FRPO","French Polynesia (France)"
"GA (US)","United States"
"GER","Germany"
"GHANA","Ghana"
"GRC","Greece"
"GUAD","Guadeloupe (France)"
"GUAT","Guatemala"
"GUY","Guyana"
"HI (US)","United States"
"HK","Hong Kong (China)"
"HRV","Croatia"
"HUN","Hungary"
"IA (US)","United States"
"ID (US)","United States"
"IL (US)","United States"
"IMAN (UK)","Isle of Man (Crown Dependency)"
"IN (US)","United States"
"INDIA","India"
"IRAN","Iran"
"IRE","Ireland"
"ISRL","Israel"
"ITALY","Italy"
"JAPAN","Japan"
"KOREA","South Korea"
"KS (US)","United States"
"KY (US)","United States"
"LA (US)","United States"
"LEB","Lebanon"
"LT","Lithuania"
"LUX","Luxembourg"
"MA (US)","United States"
"MADA","Madagascar"
"MART","Martinique (France)"
"MB (CAN)","Canada"
"MD (US)","United States"
"ME (US)","United States"
"MEX","Mexico"
"MI (US)","United States"
"MLYS","Malaysia"
"MN (US)","United States"
"MNE","Montenegro"
"MO (US)","United States"
"MONACO","Monaco"
"MOR","Morocco"
"MS (US)","United States"
"MT (US)","United States"
"NB (CAN)","Canada"
"NC (US)","United States"
"ND (US)","United States"
"NE (US)","United States"
"NETH","Netherlands"
"NF (CAN)","Canada"
"NH (US)","United States"
"NIC","Nicaragua"
"NIRE (UK)","United Kingdom"
"NJ (US)","United States"
"NM (US)","United States"
"NOR","Norway"
"NS (CAN)","Canada"
"NV (US)","United States"
"NY (US)","United States"
"NZ","New Zealand"
"OH (US)","United States"
"OK (US)","United States"
"ON (CAN)","Canada"
"OR (US)","United States"
"PA (US)","United States"
"PAK","Pakistan"
"PAN","Panama"
"PAPUA","Papua New Guinea"
"PAR","Paraguay"
"PERU","Peru"
"PHIL","Philippines"
"POL","Poland"
"PORT","Portugal"
"PR (US)","Puerto Rico (U.S. territory)"
"QU (CAN)","Canada"
"REU","Réunion (France)"
"RI (US)","United States"
"ROM","Romania"
"RU","Russia"
"S LEONE","Sierra Leone"
"SAFR","South Africa"
"SAUDI","Saudi Arabia"
"SC (US)","United States"
"SCOT (UK)","United Kingdom"
"SD (US)","United States"
"SEN","Senegal"
"SI","Slovenia"
"SK (CAN)","Canada"
"SPAIN","Spain"
"STVI","Saint Vincent and the Grenadines"
"SVK","Slovakia"
"SWED","Sweden"
"SWTZ","Switzerland"
"SYRIA","Syria"
"THAI","Thailand"
"TN (US)","United States"
"TONGA","Tonga"
"TUN","Tunisia"
"TUR","Turkiye"
"TX (US)","United States"
"UA","Ukraine"
"UR","Uruguay"
"UT (US)","United States"
"VA (US)","United States"
"VEN","Venezuela"
"VIET","Vietnam"
"VT (US)","United States"
"WA (US)","United States"
"WALES (UK)","United Kingdom"
"WI (US)","United States"
"WV (US)","United States"
"WY (US)","United States"
"YEMEN","Yemen"
"ZAIRE","Democratic Republic of the Congo"
"ZIM","Zimbabwe"
