"ARN","Name","EminenceScore"
"2421","John F. Kennedy","95.50"
"219","Walt Disney","95.00"
"8225","Steve Jobs","93.75"
"6952","Pelé","93.50"
"132","Linus Pauling","93.25"
"2080","Orson Welles","93.25"
"3828","Marlon Brando","93.25"
"7577","David Bowie","93.25"
"5246","Stephen Sondheim","93.00"
"4311","Miles Davis","92.75"
"2160","Frank Sinatra","92.50"
"182","Louis Armstrong","92.25"
"202","Enrico Fermi","92.25"
"5439","Toni Morrison","92.25"
"4412","John Coltrane","91.50"
"4507","Sidney Poitier","91.50"
"6155","Elvis Presley","91.25"
"5031","Audrey Hepburn","91.25"
"4284","Queen of the United Kingdom Elizabeth II","91.00"
"7071","Muhammad Ali","91.00"
"3433","Judy Garland","91.00"
"1662","Alan Turing","90.75"
"3928","Jimmy Carter","90.75"
"5368","Harold Pinter","90.75"
"5633","François Truffaut","90.75"
"6428","Václav Havel","90.75"
"2320","François Mitterrand","90.50"
"5832","Philip Roth","90.50"
"5127","Murray Gell-Mann","90.25"
"851","Laurence Olivier","90.00"
"5399","Jean-Luc Godard","90.00"
"2963","Pope John Paul II","89.75"
"1079","Claude Lévi-Strauss","89.75"
"1007","John Bardeen","89.50"
"1631","Glenn Seaborg","89.50"
"5784","Jacques Chirac","89.25"
"6286","Jerry Lee Lewis","89.25"
"7555","Gianni Versace","89.25"
"3213","John Glenn","89.00"
"2081","Paul Samuelson","88.75"
"501","Umm Kulthum","88.50"
"1141","Rita Levi-Montalcini","88.50"
"5431","James Dean","88.50"
"6299","Edward Said","88.50"
"1867","Benjamin Britten","88.25"
"2744","Nat "King" Cole","88.25"
"4541","Mstislav Leopoldovich Rostropovich","88.00"
"4795","Shirley Temple","88.00"
"2117","Charles Hard Townes","87.75"
"8580","Princess of Wales Diana","87.50"
"19","Luis Buñuel","87.50"
"225","Margaret Mead","87.50"
"992","Bette Davis","87.25"
"1685","Gene Kelly","87.25"
"5732","Luc Montagnier","87.25"
"3938","Lee Iacocca","87.00"
"4036","Pierre Boulez","87.00"
"5573","Riccardo Giacconi","87.00"
"502","Salvador Dali","86.75"
"498","Willem De Kooning","86.75"
"1043","Henri Cartier-Bresson","86.75"
"5524","Alice Munro","86.75"
"6963","Bruce Lee","86.50"
"558","Gerhard Herzberg","86.50"
"2163","Édith Piaf","86.50"
"7153","Jimi Hendrix","86.25"
"6137","Carl Sagan","86.25"
"4563","Jackie Robinson","86.25"
"204","Alberto Giacometti","86.25"
"470","George F. Kennan","86.25"
"4570","Manfred Eigen","86.25"
"5770","Louis Malle","86.25"
"5886","Joan Rivers","86.25"
"5328","Neil Armstrong","86.00"
"674","Albert Hofmann","86.00"
"1278","Django Reinhardt","86.00"
"1579","Louise Bourgeois","86.00"
"2253","Robert F. Furchgott","86.00"
"3118","Betty Friedan","86.00"
"4317","Marilyn Monroe","85.75"
"312","Leni Riefenstahl","85.75"
"1519","Lucille Ball","85.75"
"3446","Pierre Cardin","85.75"
"5847","Jean-Paul Belmondo","85.75"
"2815","Primo Levi","85.50"
"3026","Charles Bukowski","85.50"
"3186","Duke of Edinburgh Philip","85.50"
"3711","Hank Williams","85.50"
"296","William Wyler","85.25"
"389","Marguerite Yourcenar","85.25"
"1358","Robert K. Merton","85.25"
"2219","Gregory Peck","85.25"
"4083","Barbara Bush","85.25"
"4564","Coretta Scott King","85.25"
"5715","Quino","85.25"
"8619","Steve Irwin","85.25"
"373","Jan Tinbergen","85.00"
"735","Philip Johnson","85.00"
"1106","Simone Weil","85.00"
"1911","Marguerite Duras","85.00"
"2089","Les Paul","85.00"
"2549","Nicolae Ceausescu","85.00"
"2791","Pauline Kael","85.00"
"7089","Aretha Franklin","84.75"
"1990","Jonas Salk","84.75"
"7184","George Harrison","84.75"
"4065","Malcolm X","84.75"
"6369","Glenda Jackson","84.75"
"618","Jean-Paul Sartre","84.50"
"5288","Clint Eastwood","84.50"
"718","André Weil","84.50"
"1758","Paul Ricoeur","84.50"
"1808","Aimé Césaire","84.50"
"1958","Louis de Funès","84.50"
"3170","Sophie Scholl","84.50"
"3570","Franco Zeffirelli","84.50"
"6380","Larry McMurtry","84.50"
"27","Frédéric Joliot-Curie","84.25"
"4560","Albert Uderzo","84.25"
"5756","Adolfo Suárez","84.25"
"6497","Ron Carter","84.25"
"880","Frida Kahlo","84.00"
"5646","Johnny Cash","84.00"
"2734","Andreas Papandreou","84.00"
"5566","Jean-Claude Carrière","84.00"
"7625","Bruno Latour","84.00"
"220","Werner Heisenberg","83.75"
"2509","Indira Gandhi","83.75"
"2809","Iris Murdoch","83.75"
"6579","John Kennedy Toole","83.75"
"3642","Henry Kissinger","83.50"
"7989","Robin Williams","83.50"
"365","Adolf Butenandt","83.50"
"3167","Arthur Schawlow","83.50"
"3600","Marcel Marceau","83.50"
"4783","Maya Angelou","83.25"
"1621","Wernher von Braun","83.25"
"1737","Richard Nixon","83.25"
"919","Jacques Tati","83.25"
"4471","Maurice Béjart","83.25"
"5096","Jean Baudrillard","83.25"
"5500","João Gilberto","83.25"
"6141","Garry Marshall","83.25"
"6227","Françoise Sagan","83.25"
"7313","Joe Cocker","83.25"
"5829","Quincy Jones","83.00"
"6819","Tina Turner","83.00"
"5074","Oriana Fallaci","83.00"
"8690","Whitney Houston","82.75"
"274","David O. Selznick","82.75"
"2032","Thomas Merton","82.75"
"2228","Ferruccio Lamborghini","82.75"
"2314","Jean Dausset","82.75"
"2428","Gwendolyn Brooks","82.75"
"3916","Daniel Inouye","82.75"
"4080","Tony Curtis","82.75"
"4481","Eartha Kitt","82.75"
"6113","Leonard Cohen","82.50"
"7119","Jerry Garcia","82.50"
"123","Clark Gable","82.50"
"1371","Pierre Schaeffer","82.50"
"2224","Beverly Cleary","82.50"
"4606","Gina Lollobrigida","82.50"
"6019","Charley Pride","82.50"
"6538","Bruce McLaren","82.50"
"6499","George Carlin","82.25"
"487","Joseph Campbell","82.25"
"464","George Balanchine","82.25"
"1995","Hedy Lamarr","82.25"
"273","André Lwoff","82.25"
"550","Louis Néel","82.25"
"846","Daphne Du Maurier","82.25"
"2931","Eric Rohmer","82.25"
"3220","Chris Marker","82.25"
"3504","Liliane Bettencourt","82.25"
"4640","Althea Gibson","82.25"
"5309","George Steinbrenner","82.25"
"6529","Charlie Haden","82.25"
"1346","Jacques Cousteau","82.00"
"6401","Yves Saint Laurent","82.00"
"85","Hans Adolf Krebs","82.00"
"3645","Prince of Monaco Rainier III","82.00"
