"ARN","Name","WikiConfirmed","DeathDateConfirmed","IsDuplicate"
"1","Cugat, Xavier","TRUE","TRUE","FALSE"
"2","Cunningham, Cissy","FALSE","FALSE","FALSE"
"3","Borboni, Paola","TRUE","TRUE","FALSE"
"4","Gobillot, Marcel","TRUE","TRUE","FALSE"
"5","Maguenat, Jane","TRUE","TRUE","FALSE"
"6","Bamann, Eugen","FALSE","FALSE","FALSE"
"7","Busch, Ernst","FALSE","FALSE","FALSE"
"8","Pellos, René","TRUE","TRUE","FALSE"
"9","Baum, Otto","TRUE","TRUE","FALSE"
"10","Leir, Henry J.","TRUE","TRUE","FALSE"
"11","Righter, Carroll","TRUE","TRUE","FALSE"
"12","Pederzini, Gianna","TRUE","TRUE","FALSE"
"13","Gadamer, Hans-Georg","TRUE","TRUE","FALSE"
"14","Berry, George","TRUE","TRUE","FALSE"
"15","Klingenberg, Trygve","TRUE","TRUE","FALSE"
"16","Renaud, Madeleine","TRUE","TRUE","FALSE"
"17","Aubert, Jeanne","TRUE","TRUE","FALSE"
"18","Fromet, Madeleine","FALSE","FALSE","FALSE"
"19","Buñuel, Luis","TRUE","TRUE","FALSE"
"20","Noro, Line","TRUE","TRUE","FALSE"
"21","Maschke, Erich","TRUE","TRUE","FALSE"
"22","Magner, Martin","TRUE","TRUE","FALSE"
"23","London, Fritz","TRUE","TRUE","FALSE"
"24","Chepito","FALSE","FALSE","FALSE"
"25","Sālote Tupou III, Queen of Tonga","TRUE","TRUE","FALSE"
"26","Longo, Luigi","TRUE","TRUE","FALSE"
"27","Joliot-Curie, Frédéric","TRUE","TRUE","FALSE"
"28","Fromm, Erich","TRUE","TRUE","FALSE"
"29","Richelmy, Agostino","TRUE","TRUE","FALSE"
"30","Van Coile, Albert","TRUE","TRUE","FALSE"
"31","Brager-Nielsen, Harald","TRUE","TRUE","FALSE"
"32","Sampter, Ruth","FALSE","FALSE","FALSE"
"33","Alessandri, Hernán","TRUE","TRUE","FALSE"
"34","Lytton, Noel","TRUE","TRUE","FALSE"
"35","Lund, Vilhelm","TRUE","TRUE","FALSE"
"36","Mazeline, Guy","TRUE","TRUE","FALSE"
"37","Molinier, Pierre","TRUE","TRUE","FALSE"
"38","Heyerdahl, Thorleif","TRUE","TRUE","FALSE"
"39","Nandino, Elías","TRUE","TRUE","FALSE"
"40","Verwey, Kees","TRUE","TRUE","FALSE"
"41","Fritzsche, Hans","TRUE","TRUE","FALSE"
"42","Linder, Linda C.","FALSE","FALSE","FALSE"
"43","Duran, Michel","TRUE","TRUE","FALSE"
"44","Barraud, Henri","FALSE","FALSE","FALSE"
"45","Oort, Jan Hendrik","TRUE","TRUE","FALSE"
"46","Rivas Mercado, Antonieta","TRUE","TRUE","FALSE"
"47","Maples Arce, Manuel","TRUE","TRUE","FALSE"
"48","Maurel, Yo","FALSE","FALSE","FALSE"
"49","Carlu, Jean","TRUE","TRUE","FALSE"
"50","Darly, Hélène","TRUE","TRUE","FALSE"
"51","Krafft, Karl Ernst","TRUE","TRUE","FALSE"
"52","Velázquez, Fidel","TRUE","TRUE","FALSE"
"53","Robbins, Catherine","FALSE","FALSE","FALSE"
"54","Ivano, Paul","TRUE","TRUE","FALSE"
"55","Polacco, Cesare","TRUE","TRUE","FALSE"
"56","Cabrera, Lydia","TRUE","TRUE","FALSE"
"57","Frank, Hans","TRUE","TRUE","FALSE"
"58","De Filippo, Eduardo","TRUE","TRUE","FALSE"
