Index,idADB,Name,BirthYear,EminenceScore
1,193,Jonas Salk,1914,98.00
2,6547,Martin Luther King,1929,98.00
3,4001,Werner Heisenberg,1901,98.00
4,12913,Bill Gates,1955,97.50
5,3991,Enrico Fermi,1901,97.00
6,9129,Paul McCartney,1942,97.00
7,19393,Pope John Paul II,1920,96.50
8,36161,Steve Jobs,1955,96.50
9,9010,Muhammad Ali,1942,96.00
10,4000,Walt Disney,1901,96.00
11,86262,André Weil,1906,95.00
12,26089,Bob Dylan,1941,95.00
13,7533,Elvis Presley,1935,95.00
14,37139,Gilles Deleuze,1925,95.00
15,5101,Indira Gandhi,1917,95.00
16,4226,Jean-Paul Sartre,1905,95.00
17,5888,Jimmy Carter,1924,95.00
18,690,John Bardeen,1908,95.00
19,5069,John F. Kennedy,1917,95.00
20,9447,Mick Jagger,1943,95.00
21,25227,Neil Armstrong,1930,95.00
22,165,Simone de Beauvoir,1908,95.00
23,10426,Steven Spielberg,1946,95.00
24,19613,Diana Ross,1944,94.00
25,341,George Harrison,1943,94.00
26,4290,Hans Bethe,1906,94.00
27,9264,Jimi Hendrix,1942,94.00
28,5432,John Glenn,1921,94.00
29,25828,Malcolm X,1925,94.00
30,49595,Pope Benedict XVI,1927,94.00
31,153,Salvador Dali,1904,94.00
32,45160,Warren Buffett,1930,94.00
33,6609,Anne Frank,1929,93.00
34,9069,Aretha Franklin,1942,93.00
35,5179,Billy Graham,1918,93.00
36,4195,Christian Dior,1905,93.00
37,4679,Glenn Seaborg,1912,93.00
38,6721,Helmut Kohl,1930,93.00
39,4557,Jacques Cousteau,1910,93.00
40,67632,Jean-Pierre Serre,1926,93.00
41,89289,John B. Goodenough,1922,93.00
42,142,Linus Pauling,1901,93.00
43,13850,Michael Jordan,1963,93.00
44,85658,Paul Samuelson,1915,93.00
45,9461,Robert De Niro,1943,93.00
46,19618,Tony Blair,1953,93.00
47,4144,B.F. Skinner,1904,92.00
48,9096,Barbra Streisand,1942,92.00
49,8743,Bruce Lee,1940,92.00
50,7503,Carl Sagan,1934,92.00
51,41229,Claude Lévi-Strauss,1908,92.00
52,74943,Emmanuelle Charpentier,1968,92.00
53,79233,Ernst Mayr,1904,92.00
54,196,Frank Sinatra,1915,92.00
55,1311,Garry Kasparov,1963,92.00
56,5691,Henry Kissinger,1923,92.00
57,95588,Jackie Robinson,1927,92.00
58,24473,James Baker,1930,92.00
59,6165,John Coltrane,1926,92.00
60,19581,Joni Mitchell,1943,92.00
61,4340,Katharine Hepburn,1907,92.00
62,67167,LeBron James,1984,92.00
63,139,Louis Armstrong,1901,92.00
64,41954,Luc Montagnier,1932,92.00
65,230,Marlon Brando,1924,92.00
66,19817,Michael (1958) Jackson,1958,92.00
67,54367,Murray Gell-Mann,1929,92.00
68,50688,Paul D. Boyer,1918,92.00
69,8953,Paul Simon,1941,92.00
70,85802,Philip W. Anderson,1923,92.00
71,188,Richard Nixon,1913,92.00
72,8643,Ringo Starr,1940,92.00
73,55658,Rita Levi-Montalcini,1909,92.00
74,42043,Sandra Day O'Connor,1930,92.00
75,25821,Stevie Wonder,1950,92.00
76,36090,Toni Morrison,1931,92.00
77,7862,Václav Havel,1936,92.00
78,4815,Willy Brandt,1913,92.00
79,335,Brian Wilson,1942,91.00
80,26450,Jean-Luc Godard,1930,91.00
81,24367,Jim Morrison,1943,91.00
82,40030,Joshua Lederberg,1925,91.00
83,4345,Laurence Olivier,1907,91.00
84,182,Lucille Ball,1911,91.00
85,6122,Miles Davis,1926,91.00
86,23976,Oprah Winfrey,1954,91.00
87,4915,Orson Welles,1915,91.00
88,11657,Steve Wozniak,1950,91.00
89,24389,Al Pacino,1940,90.00
90,25044,Alan Turing,1912,90.00
91,3993,Alberto Giacometti,1901,90.00
92,19733,Andrew Lloyd Webber,1948,90.00
93,10681,Arnold Schwarzenegger,1947,90.00
94,344,Arthur Ashe,1943,90.00
95,259,Audrey Hepburn,1929,90.00
96,4809,Benjamin Britten,1913,90.00
97,5377,Betty Friedan,1921,90.00
98,49530,Beyoncé,1981,90.00
99,9537,Billie Jean King,1943,90.00
100,26481,Bruce Springsteen,1949,90.00
101,13691,Carl Lewis,1961,90.00
102,19446,Celine Dion,1968,90.00
103,362,Cher,1946,90.00
104,24567,Coretta Scott King,1927,90.00
105,10448,David Bowie,1947,90.00
106,360,Dolly Parton,1946,90.00
107,50156,Ella Fitzgerald,1917,90.00
108,41992,Ennio Morricone,1928,90.00
109,5025,François Mitterrand,1916,90.00
110,37196,George Balanchine,1904,90.00
111,4777,Gerald Ford,1913,90.00
112,57986,Gerhard Richter,1932,90.00
113,4176,Graham Greene,1904,90.00
114,4239,Greta Garbo,1905,90.00
115,5193,Helmut Schmidt,1918,90.00
116,4346,Hergé,1907,90.00
117,7963,Jack Nicholson,1937,90.00
118,7157,Jacques Chirac,1932,90.00
119,61287,Jan Tinbergen,1903,90.00
120,9302,Janis Joplin,1943,90.00
121,5023,Jean Dausset,1916,90.00
122,57034,Jean Marie Lehn,1939,90.00
123,8951,Jesse Jackson,1941,90.00
124,5557,Judy Garland,1922,90.00
125,5608,Kurt Vonnegut,1922,90.00
126,7679,Luciano Pavarotti,1935,90.00
127,25402,Luis Buñuel,1900,90.00
128,663,Maya Angelou,1928,90.00
129,11278,Meryl Streep,1949,90.00
130,49596,Morgan Freeman,1937,90.00
131,61430,Octavio Paz,1914,90.00
132,81106,Paul J. Crutzen,1933,90.00
133,5923,Paul Newman,1925,90.00
134,5955,Pierre Boulez,1925,90.00
135,41879,Primo Levi,1919,90.00
136,54781,Rafael Nadal,1986,90.00
137,5938,Robert Altman,1925,90.00
138,11923,Robin Williams,1951,90.00
139,50127,Roger Federer,1981,90.00
140,58461,Ronald Coase,1910,90.00
141,25694,Serena Williams,1981,90.00
142,6220,Sidney Poitier,1927,90.00
143,61798,Simone Biles,1997,90.00
144,10741,Stephen King,1947,90.00
145,6716,Stephen Sondheim,1930,90.00
146,26531,Sting,1951,90.00
147,36029,Ted Turner,1938,90.00
148,4604,Tennessee Williams,1911,90.00
149,5094,Thelonious Monk,1917,90.00
150,92632,Umm Kulthum,1904,90.00
151,13628,Wayne Gretzky,1961,90.00
152,4671,Wernher von Braun,1912,90.00
153,7838,Yves Saint Laurent,1936,90.00
154,60667,Yvonne Choquet-Bruhat,1923,90.00
155,80826,Bell Hooks,1952,89.00
156,283,Corazon Aquino,1933,89.00
157,55671,Frédéric Joliot-Curie,1900,89.00
158,44993,Gerhard Herzberg,1904,89.00
159,5986,Jacques Delors,1925,89.00
160,3968,Jacques Lacan,1901,89.00
161,24439,Les Paul,1915,89.00
162,6258,Manfred Eigen,1927,89.00
163,19563,Tiger Woods,1975,89.00
164,4087,Adolf Butenandt,1903,88.00
165,98732,Adolfo Suárez,1932,88.00
166,50543,Agnès Varda,1928,88.00
167,43783,Alex Ferguson,1941,88.00
168,216,Alex Haley,1921,88.00
169,26265,Alice Munro,1931,88.00
170,36171,Allan Sandage,1926,88.00
171,98699,Andrés Iniesta,1984,88.00
172,42625,Angelina Jolie,1975,88.00
173,7853,Buddy Holly,1936,88.00
174,284,Carol Burnett,1933,88.00
175,5537,Charles Mingus,1922,88.00
176,42497,Chuck Yeager,1923,88.00
177,37069,Claude Cohen-Tannoudji,1933,88.00
178,267,Clint Eastwood,1930,88.00
179,5362,Dave Brubeck,1920,88.00
180,8017,Dustin Hoffman,1937,88.00
181,25959,Eddie Van Halen,1955,88.00
182,47459,Eddy Merckx,1945,88.00
183,6800,Edgar Mitchell,1930,88.00
184,86814,Edward Said,1935,88.00
185,4495,Edwin H. Land,1909,88.00
186,25387,Elizabeth Taylor,1932,88.00
187,3898,Erich Fromm,1900,88.00
188,5181,Ernst Otto Fischer,1918,88.00
189,7015,François Truffaut,1932,88.00
190,4355,Frida Kahlo,1907,88.00
191,7969,George Carlin,1937,88.00
192,65752,George F. Kennan,1904,88.00
193,51946,George Stigler,1911,88.00
194,56990,Giorgio Napolitano,1925,88.00
195,7377,Hank Aaron,1934,88.00
196,5725,Hank Williams,1923,88.00
197,6107,Harper Lee,1926,88.00
198,79412,Harry Markowitz,1927,88.00
199,3933,Heinrich Himmler,1900,88.00
200,19521,Henri Cartan,1904,88.00
201,4439,Henri Cartier-Bresson,1908,88.00
202,4416,Herbert von Karajan,1908,88.00
203,4931,Ingrid Bergman,1915,88.00
204,272,James Dean,1931,88.00
205,40073,Jerry Lewis,1934,88.00
206,55655,Jimmy Wales,1966,88.00
207,97485,John Clauser,1942,88.00
208,9562,John Denver,1943,88.00
209,146,Marlene Dietrich,1901,88.00
210,24292,Martina Navratilova,1956,88.00
211,9742,Michael Douglas,1944,88.00
212,75813,Norman D. Shumway,1934,88.00
213,6534,Philip K. Dick,1928,88.00
214,8780,Plácido Domingo,1941,88.00
215,37559,Ray Bradbury,1920,88.00
216,19377,Richard Branson,1950,88.00
217,95862,Robert F. Furchgott,1916,88.00
218,7845,Robert Redford,1936,88.00
219,35751,Ron Howard,1954,88.00
220,25932,Seymour Cray,1925,88.00
221,4471,Simone Weil,1909,88.00
222,25675,Sophie Scholl,1921,88.00
223,14386,Steffi Graf,1969,88.00
224,6656,Ursula K. Le Guin,1929,88.00
225,6070,Valéry Giscard d'Estaing,1926,88.00
226,4149,Willem De Kooning,1904,88.00
227,147,William Wyler,1902,88.00
228,6914,Willie Mays,1931,88.00
229,39941,Willis Lamb,1913,88.00
230,7698,Woody Allen,1935,88.00
231,24590,Angela Lansbury,1925,87.00
232,7836,Anthony Kennedy,1936,87.00
233,6962,Barbara Walters,1929,87.00
234,225,Bob Dole,1923,87.00
235,6276,Bob Fosse,1927,87.00
236,47517,Cantinflas,1911,87.00
237,9032,Carole King,1942,87.00
238,297,Gene Wilder,1933,87.00
239,51174,Hans-Georg Gadamer,1900,87.00
240,42132,Harold Pinter,1930,87.00
241,6092,Jerry (1926) Lewis,1926,87.00
242,9171,Jerry Garcia,1942,87.00
243,4184,Louis Néel,1904,87.00
244,4004,Margaret Mead,1901,87.00
245,55849,Paul Janssen,1926,87.00
246,42512,Philip Johnson,1906,87.00
247,25413,Quincy Jones,1933,87.00
248,46192,Riccardo Giacconi,1931,87.00
249,91597,Robert K. Merton,1910,87.00
250,5778,Roger Guillemin,1924,87.00
251,6790,Sean Connery,1930,87.00
252,7482,Sophia Loren,1934,87.00
253,354,Steve Martin,1945,87.00
254,7145,Sylvia Plath,1932,87.00
255,4113,Theodor W. Adorno,1903,87.00
256,7245,Willie Nelson,1933,87.00
257,7381,Bill Russell,1934,86.00
258,293,Brigitte Bardot,1934,86.00
259,12776,Chris Evert,1954,86.00
260,35948,Gladys Knight,1944,86.00
261,50383,John Ashbery,1927,86.00
262,36370,John McCain,1936,86.00
263,5033,Kirk Douglas,1916,86.00
264,339,Michael Crichton,1942,86.00
265,11489,Peter Gabriel,1950,86.00
266,7218,Philip Roth,1933,86.00
267,36201,Robert Rauschenberg,1925,86.00
268,5812,Sarah Vaughan,1924,86.00
269,6801,Thomas P. Stafford,1930,86.00
270,13896,Whitney Houston,1963,86.00
271,4950,Édith Piaf,1915,86.00
272,55022,Aimé Césaire,1913,85.00
273,63864,Alain Aspect,1947,85.00
