Rank,ARN,Name,Date,Time,ZoneAbbrev,ZoneTime,Place,Country,Latitude,Longitude,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,Ascendant,Midheaven,EminenceScore
1,2421,John F. Kennedy,29 May 1917,15:00,...,+5:00,Brookline,United States,42N20,071W07,67.8435418601362,167.209033920482,50.593465655038,76.7449429834782,48.4311560076912,53.0472392645241,117.161198793404,323.718731044225,122.67177352613,93.268534544821,199.995484266925,113.773775658961,95.5
2,219,Walt Disney,5 Dec 1901,0:35,...,+6:00,Chicago,United States,41N51,087W39,252.44795743899,189.167242451442,237.429289485294,299.705873452647,278.454952397727,285.385663250619,284.679743865995,256.83117971961,90.5655494178815,77.7850957393806,175.654819874896,84.9190397051076,95.0
3,8225,Steve Jobs,24 Feb 1955,19:15,...,+8:00,San Francisco,United States,37N47,122W25,335.74813498165,7.74733079105397,314.361728789904,291.171870641525,29.0904870567189,110.507958177798,231.162681284681,114.134949037054,208.051285541919,145.322689201572,172.290129661927,81.3131727985105,93.75
4,6952,Pelé,21 Oct 1940,3:00,...,+3:00,TrÃªs CoraÃ§Ãµes (Mi,Brazil,21S41,045W15,207.691234557637,82.0066550790188,232.015979526574,166.469721340644,190.110025095898,42.3302076555748,42.3838879689783,55.1766310681208,176.423270817847,124.291352847703,159.509762423316,75.5235286920813,93.5
5,132,Linus Pauling,28 Feb 1901,22:00,...,+8:00,Portland,United States,45N31,122W41,339.984366984368,112.755162341132,351.505876472229,324.560747136829,150.212855326588,277.797066369565,283.956617133634,256.701349505929,86.4569844805523,75.6846949964591,206.870981663955,123.3559436562,93.25
6,2080,Orson Welles,6 May 1915,7:00,...,+6:00,Kenosha,United States,42N35,087W49,44.9175124323864,318.807702489232,50.6022681481503,11.3317701019627,15.1671611083821,350.77258365881,89.4234200420891,315.578033498996,117.856775083759,90.6429969339268,84.3387001219199,328.319816687422,93.25
7,3828,Marlon Brando,3 Apr 1924,23:00,...,+6:00,Omaha,United States,41N16,095W56,14.1567764645347,13.0754851918382,27.2389762067947,58.8469869810909,287.713046770821,259.89635332264,210.15587883383,349.001866287259,137.749294266244,100.262490940309,243.732001225122,170.536494411487,93.25
8,5246,Stephen Sondheim,22 Mar 1930,21:00,...,+5:00,New York,United States,40N43,074W00,1.71597178435442,282.147634160961,352.60030294715,12.6106641539736,334.567846930104,70.3386790789195,281.17562620917,10.7796157304372,151.430640262691,107.454413752471,216.161943243095,133.373078932096,93.0
9,4311,Miles Davis,26 May 1926,5:00,...,+6:00,Alton,United States,38N53,090W11,64.4325116804145,231.463909794856,53.5299210855599,21.6952646894881,346.297933802906,326.475804803698,231.883607438668,358.816226724153,142.134973977916,103.257683795849,68.5700741187008,315.614815699349,92.75
10,2160,Frank Sinatra,12 Dec 1915,3:00,...,+5:00,Hoboken,United States,40N45,074W02,259.21903506122,335.119408737181,257.166540403096,281.925216416805,147.569347042313,349.882910867886,104.861038148557,312.794626992839,122.316465371173,92.5359509342781,208.368239732186,123.59115761447,92.5
11,182,Louis Armstrong,4 Aug 1901,22:00,...,+6:00,New Orleans,United States,29N57,090W05,132.01471458066,13.4082708674545,112.971225043952,157.744258183657,193.167002480792,274.247593928694,281.027793782369,253.005938466636,90.5166399986093,78.3453018222443,18.5959936242845,281.889777399455,92.25
12,202,Enrico Fermi,29 Sep 1901,19:00,...,-1:00,Rome,Italy,41N54,012E29,185.879386921747,27.0187268503527,208.066917812325,224.607423303824,229.576742948559,274.602674330973,279.974287804723,253.493726723724,91.4842670354674,78.6745318453187,34.5438668802838,288.724356969359,92.25
13,5439,Toni Morrison,18 Feb 1931,11:00,...,+5:00,Lorain,United States,41N27,082W11,329.047191647637,341.151938049767,310.460828721475,282.982474326875,119.493529040697,100.905393282683,289.200065471393,12.8676647919035,154.56079211752,109.044806134076,55.7042721747046,303.169112785819,92.25
14,4507,Sidney Poitier,20 Feb 1927,21:00,...,+5:00,Miami,United States,25N46,080W12,331.445428281859,199.519532324913,348.480311566291,353.221106095805,59.514462152649,337.843792371199,247.144538519576,357.836377314984,145.449393379401,104.021686235435,188.828808972152,99.0067006588743,91.5
15,5031,Audrey Hepburn,4 May 1929,3:00,...,-1:00,Ixelles,Belgium,50N50,004E22,43.1161630542337,336.451934219771,60.3199884614817,22.7838966264417,115.154768142606,50.7516776103965,270.042623071508,9.34323705196149,148.599632511406,106.439908947318,328.626255407684,256.971310545892,91.25
16,6155,Elvis Presley,8 Jan 1935,4:35,...,+6:00,Tupelo,United States,34N15,088W42,287.232246249858,332.02434210815,292.306990795708,299.364983162489,192.830755955792,228.069278113754,325.742799966667,27.49919533017,164.449481552796,115.134003047983,252.370534798105,176.837217215701,91.25
