Index	Name	BirthYear	DescriptionText
101	John Doe	1980	A very interesting person indeed, often found contemplating complex problems with a quiet demeanor.
102	Jane Smith	1992	Loves to code and explore new tech, always eager for the next challenge and innovation.
103	Peter Pan	1904	Never wants to grow up, lives in Neverland, embodies eternal youth and adventure.
104	Alice Wonderland	1862	Curious and follows white rabbits, her journeys often defy logic and embrace the surreal.
105	Sherlock Holmes	1854	A brilliant detective with keen observation skills, solves mysteries through deduction.
106	Dr. Watson	1852	Loyal companion and chronicler of Holmes, provides a grounded perspective to extraordinary cases.
107	Captain Nemo	1820	Mysterious captain of the Nautilus, a scientific genius with a reclusive and vengeful streak.
108	Elizabeth Bennet	1796	Witty and independent, values intelligence and character over societal expectations.
109	Mr. Darcy	1788	Initially perceived as proud and aloof, possesses a strong sense of integrity and loyalty.
110	Frodo Baggins	2968	A hobbit of humble origins tasked with a world-saving quest, showing immense courage. (TA)
111	Gandalf the Grey	0	A wise and powerful wizard, guides and aids those fighting against evil. (TA)
112	Atticus Finch	1890	A lawyer of unwavering moral integrity, defends the innocent against prejudice.
113	Scout Finch	1926	Observant and precocious child, learns about justice and empathy in a segregated South.
114	Jay Gatsby	1890	Enigmatic millionaire pursuing a lost love, embodies the American Dream's allure and tragedy.
115	Daisy Buchanan	1899	Charming and superficial, represents the allure and emptiness of the upper class.
116	Holden Caulfield	1933	Cynical and disillusioned teenager, struggles with phoniness and the transition to adulthood.
117	Willy Wonka	1920	Eccentric and reclusive chocolatier, known for his fantastical inventions and moral tests.
118	Charlie Bucket	1955	Kind-hearted and impoverished boy, wins a tour of a magical chocolate factory through honesty.
119	Hermione Granger	1979	Intelligent, resourceful, and fiercely loyal witch, a key member of her adventurous trio.
120	Harry Potter	1980	The "Boy Who Lived," destined to confront a dark wizard, known for bravery and resilience.
121	Ron Weasley	1980	Loyal and humorous best friend, often provides comic relief and steadfast support.
122	Darth Vader	-41	Once a heroic Jedi, seduced by the dark side, embodies power, tragedy, and eventual redemption. (BBY)
123	Luke Skywalker	-19	Farmboy destined to become a Jedi Master, fights for freedom in a galactic civil war. (BBY)
124	Princess Leia Organa	-19	Strong-willed leader of the Rebel Alliance, a diplomat and warrior. (BBY)
125	Indiana Jones	1899	Adventurous archaeologist and professor, known for his whip, fedora, and fear of snakes.
126	James Bond	1920	Suave and resourceful secret agent (007), serves his country with sophisticated gadgets.
127	Wonder Woman	-3000	Amazonian princess and demigoddess, fights for justice, love, peace, and gender equality. (Ancient)
128	Superman (Clark Kent)	1938	Alien from Krypton with extraordinary powers, champions truth, justice, and the American way. (Comic Book Origin Year)
129	Batman (Bruce Wayne)	1939	Vigilante crime-fighter driven by childhood trauma, uses intellect, wealth, and technology. (Comic Book Origin Year)
130	Katniss Everdeen	~2980	Resourceful and resilient tribute in a dystopian death match, becomes a symbol of rebellion. (Future)
131	Dr. Jekyll (Mr. Hyde)	1850	A brilliant scientist struggling with a dual personality, one good, one purely evil.
132	Rip Van Winkle	1750	A colonial villager known for his aversion to profitable labor; famously slept for twenty years.
133	Ichabod Crane	1790	A lanky, superstitious schoolmaster with an insatiable appetite and a belief in local ghost stories.
134	Don Quixote	1550	An idealistic nobleman who reads too many chivalric romances and sets out to revive knight-errantry.
135	Sancho Panza	1560	The pragmatic and loyal squire to Don Quixote, often providing a down-to-earth counterpoint.
136	King Arthur	480	Legendary British leader who, according to medieval histories, defended Britain against Saxon invaders.
137	Merlin	450	A powerful wizard and advisor to King Arthur, known for his wisdom, magic, and mysterious origins.
138	Guinevere	490	Queen consort of King Arthur, famed for her beauty and her tragic love affair with Lancelot.
139	Lancelot du Lac	490	One of the Knights of the Round Table, renowned for his chivalry and skill in combat, and his love for Guinevere.
140	Robin Hood	1160	A heroic outlaw in English folklore, skilled archer and swordsman, known for "robbing from the rich and giving to the poor."
141	Maid Marian	1170	The love interest of Robin Hood, often depicted as a noblewoman of courage and independence.
142	Little John	1165	Robin Hood's chief lieutenant and second-in-command of the Merry Men; ironically named for his large stature.
143	Friar Tuck	1170	A jovial, ale-loving friar and another of Robin Hood's companions, providing spiritual (and often physical) support.
144	Count Dracula	1431	A Transylvanian nobleman and centuries-old vampire, known for his charm, cruelty, and supernatural powers.
145	Professor Van Helsing	1840	A Dutch doctor with a wide range of interests and accomplishments, Dracula's arch-nemesis.
